epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5433,1.79985,42.1981,1.35119,0,0,0,0,0,0,437.094,0,0.00052,0.00052,0.00052
1,27.1223,1.79985,42.1981,1.35119,0,0,0,0,0,0,437.094,0,0.00052,0.00052,0.00052
1,23.798,1.2813,12.1696,0.88397,0,0,0,0,0,nan,nan,nan,0.000654321,0.000654321,0.000654321
2,50.6844,1.17664,10.7068,0.86903,0.00392,0.04348,0.00162,0.00013,0.0005,1.38203,97.4033,1.20217,0.00129483,0.00129483,0.00129483
3,75.2189,1.65196,6.59881,1.24304,0.00392,0.04348,0.00162,0.00013,0.0005,nan,nan,nan,0.00190894,0.00190894,0.00190894
4,100.046,1.48668,3.34745,1.02464,0.00392,0.04348,0.00162,0.00013,0.0005,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,124.69,1.65937,8.17698,1.30066,0.00392,0.04348,0.00162,0.00013,0.0005,nan,nan,nan,0.0018416,0.0018416,0.0018416
6,151.967,1.92116,76.5631,1.39856,0.00011,0.13043,6e-05,0,1e-05,2.61371,inf,5.24236,0.001802,0.001802,0.001802
7,180.049,1.33863,81.5747,0.93975,0.00343,0.04348,0.00049,0,7e-05,2.03534,139.5,1.55816,0.0017624,0.0017624,0.0017624
8,207.561,2.00097,26.4834,1.46537,0.00343,0.04348,0.00049,0,7e-05,2.84967,inf,22.4716,0.0017228,0.0017228,0.0017228
9,234.106,1.63764,2.68148,1.17351,0.00343,0.04348,0.00049,0,7e-05,nan,nan,nan,0.0016832,0.0016832,0.0016832
10,257.902,1.77427,2.98197,1.33541,0.00343,0.04348,0.00049,0,7e-05,1.71611,2.521,1.42304,0.0016436,0.0016436,0.0016436
11,284.637,1.79082,2.58276,1.18515,0.00343,0.04348,0.00049,0,7e-05,1.59631,3.09585,2.27202,0.001604,0.001604,0.001604
12,309.671,1.57441,3.25345,1.14022,0.00343,0.04348,0.00049,0,7e-05,0.05846,0.56532,0.06793,0.0015644,0.0015644,0.0015644
13,335.306,1.60841,2.59229,1.07491,0.0006,0.26087,0.00187,0,0.00042,1.36986,2.74671,1.64086,0.0015248,0.0015248,0.0015248
14,359.525,1.58198,2.48165,1.13667,0.00379,0.56522,0.01109,0.00119,0.00316,1.30931,2.01635,1.01803,0.0014852,0.0014852,0.0014852
15,385.308,1.5777,2.04758,1.08656,0.00071,0.3913,0.0668,0.01803,0.03586,1.17709,3.14559,0.96997,0.0014456,0.0014456,0.0014456
16,413.339,1.53353,2.00232,1.16694,0.00077,0.30435,0.00705,0.00245,0.00283,1.3922,3.47847,1.04911,0.001406,0.001406,0.001406
17,440.461,1.32313,1.80436,0.97716,0.13286,0.21739,0.05145,5e-05,0.01445,1.59268,63.2071,1.83552,0.0013664,0.0013664,0.0013664
18,469.261,1.53044,2.23337,1.09356,0.00441,0.82609,0.06986,0.0215,0.02959,1.11201,1.63312,0.94212,0.0013268,0.0013268,0.0013268
19,493.166,1.38765,1.98449,0.99355,0.0104,0.73913,0.02972,0.00232,0.0079,1.18182,1.75725,0.99943,0.0012872,0.0012872,0.0012872
20,519.576,1.04085,1.47024,0.69135,0.01467,0.73913,0.07742,0.00401,0.02053,1.20487,2.59545,1.02407,0.0012476,0.0012476,0.0012476
